id,updated_at,area,perimeter,width,length,depth
6,2023-06-09 13:33:26 UTC,2.87 &#13217;,7.04 m,1.64 m,2.26 m,0.58 m
7,2023-06-09 13:37:30 UTC,2.71 &#13217;,6.24 m,1.81 m,1.90 m,0.79 m
17,2023-06-09 13:40:40 UTC,1.57 &#13217;,5.91 m,1.28 m,1.56 m,0.15 m
19,2023-06-09 13:43:58 UTC,0.38 &#13217;,2.36 m,0.59 m,0.73 m,""
25,2023-06-09 13:46:22 UTC,1.63 &#13217;,5.02 m,1.07 m,1.82 m,0.21 m
28,2023-06-09 13:49:11 UTC,1.96 &#13217;,5.43 m,1.21 m,1.90 m,0.36 m
46,2023-06-09 13:51:26 UTC,1.43 &#13217;,4.65 m,1.04 m,1.52 m,0.14 m
56,2023-06-09 13:53:35 UTC,0.83 &#13217;,3.45 m,0.87 m,1.15 m,0.19 m
58,2023-06-09 13:56:28 UTC,0.92 &#13217;,3.80 m,0.81 m,1.37 m,0.07 m
67,2023-06-09 13:58:40 UTC,1.20 &#13217;,9.84 m,1.11 m,1.49 m,0.38 m
