id,updated_at,area,perimeter,width,length,depth
6,2023-06-09 12:16:10 UTC,2.87 &#13217;,7.04 m,1.64 m,2.26 m,0.58 m
7,2023-06-09 12:21:04 UTC,2.68 &#13217;,6.21 m,1.80 m,1.89 m,0.79 m
17,2023-06-09 12:21:41 UTC,1.57 &#13217;,5.91 m,1.28 m,1.56 m,0.15 m
19,2023-06-09 12:22:31 UTC,0.00 &#13217;,0.52 m,0.07 m,0.09 m,0.03 m
25,2023-06-09 12:24:39 UTC,0.16 &#13217;,8.75 m,1.03 m,1.81 m,0.21 m
28,2023-06-09 12:27:22 UTC,1.96 &#13217;,5.44 m,1.21 m,1.90 m,0.36 m
46,2023-06-09 12:27:57 UTC,1.37 &#13217;,5.31 m,1.03 m,1.51 m,0.14 m
56,2023-06-09 12:29:05 UTC,0.73 &#13217;,3.25 m,0.82 m,1.09 m,0.18 m
58,2023-06-09 12:30:17 UTC,0.90 &#13217;,4.00 m,0.79 m,1.38 m,0.07 m
67,2023-06-09 12:31:28 UTC,0.01 &#13217;,0.71 m,0.09 m,0.12 m,0.03 m
81,2023-06-09 12:32:55 UTC,0.11 &#13217;,7.82 m,0.93 m,1.41 m,""
87,2023-06-09 12:33:54 UTC,1.68 &#13217;,5.06 m,1.20 m,1.48 m,""
92,2023-06-09 12:35:02 UTC,2.34 &#13217;,5.95 m,1.42 m,1.80 m,0.13 m
98,2023-06-09 12:35:43 UTC,1.63 &#13217;,5.05 m,1.08 m,1.70 m,0.17 m
108,2023-06-09 12:36:24 UTC,1.75 &#13217;,7.62 m,1.57 m,1.89 m,0.22 m
109,2023-06-09 12:37:33 UTC,1.52 &#13217;,4.91 m,1.01 m,1.75 m,0.20 m
112,2023-06-09 12:39:04 UTC,1.25 &#13217;,4.32 m,1.08 m,1.32 m,0.10 m
119,2023-06-09 12:40:23 UTC,1.55 &#13217;,6.74 m,1.15 m,1.65 m,0.19 m
133,2023-06-09 12:41:30 UTC,1.07 &#13217;,4.58 m,0.82 m,1.53 m,1.54 m
137,2023-06-09 12:42:31 UTC,2.99 &#13217;,7.39 m,1.57 m,2.34 m,0.42 m
150,2023-06-09 12:43:22 UTC,1.62 &#13217;,5.03 m,1.07 m,1.74 m,0.11 m
151,2023-06-09 12:44:02 UTC,1.27 &#13217;,9.61 m,1.54 m,2.05 m,0.68 m
182,2023-06-09 12:45:16 UTC,0.97 &#13217;,3.75 m,0.96 m,1.20 m,0.12 m
184,2023-06-09 12:46:17 UTC,1.61 &#13217;,5.07 m,1.08 m,1.73 m,0.18 m
187,2023-06-09 12:46:49 UTC,1.52 &#13217;,4.74 m,1.16 m,1.62 m,0.12 m
