id,updated_at,area,perimeter,width,length,depth
6,2023-06-09 12:22:19 UTC,2.41 &#13217;,7.64 m,1.42 m,2.28 m,0.58 m
7,2023-06-09 12:25:00 UTC,2.71 &#13217;,6.24 m,1.81 m,1.90 m,0.79 m
17,2023-06-09 12:27:30 UTC,1.63 &#13217;,4.87 m,1.23 m,1.63 m,0.15 m
19,2023-06-09 12:29:48 UTC,0.38 &#13217;,2.36 m,0.59 m,0.73 m,""
25,2023-06-09 12:32:13 UTC,1.63 &#13217;,5.02 m,1.07 m,1.82 m,0.21 m
28,2023-06-09 12:34:25 UTC,1.96 &#13217;,5.44 m,1.21 m,1.90 m,0.36 m
46,2023-06-09 12:36:14 UTC,1.43 &#13217;,4.65 m,1.04 m,1.52 m,0.14 m
56,2023-06-09 12:37:43 UTC,0.73 &#13217;,3.25 m,0.82 m,1.09 m,0.18 m
58,2023-06-09 12:39:38 UTC,0.92 &#13217;,3.79 m,0.81 m,1.38 m,0.07 m
67,2023-06-09 12:41:13 UTC,1.20 &#13217;,9.84 m,1.11 m,1.49 m,0.38 m
81,2023-06-09 12:43:29 UTC,1.14 &#13217;,4.20 m,0.97 m,1.40 m,0.10 m
87,2023-06-09 12:45:07 UTC,1.68 &#13217;,5.06 m,1.20 m,1.48 m,0.24 m
92,2023-06-09 12:46:38 UTC,2.34 &#13217;,5.95 m,1.42 m,1.80 m,0.13 m
98,2023-06-09 12:47:05 UTC,1.63 &#13217;,5.05 m,1.08 m,1.70 m,0.17 m
