id,updated_at,area,perimeter,width,length,depth
6,2023-06-09 12:21:42 UTC,0.04 &#13217;,0.84 m,0.20 m,0.27 m,0.07 m
7,2023-06-09 12:25:06 UTC,2.71 &#13217;,6.24 m,1.81 m,1.90 m,0.79 m
17,2023-06-09 12:27:00 UTC,1.57 &#13217;,5.91 m,1.28 m,1.56 m,0.15 m
19,2023-06-09 12:30:15 UTC,0.38 &#13217;,2.37 m,0.59 m,0.73 m,0.25 m
25,2023-06-09 12:31:45 UTC,0.16 &#13217;,8.75 m,1.03 m,1.81 m,0.21 m
28,2023-06-09 12:33:20 UTC,1.96 &#13217;,5.43 m,1.21 m,1.90 m,0.36 m
46,2023-06-09 12:34:37 UTC,1.37 &#13217;,5.31 m,1.03 m,1.51 m,0.14 m
56,2023-06-09 12:36:08 UTC,0.73 &#13217;,3.25 m,0.82 m,1.09 m,0.18 m
58,2023-06-09 12:37:12 UTC,0.90 &#13217;,4.00 m,0.79 m,1.38 m,0.07 m
67,2023-06-09 12:38:44 UTC,0.01 &#13217;,0.71 m,0.09 m,0.12 m,0.03 m
81,2023-06-09 12:39:32 UTC,1.14 &#13217;,4.20 m,0.97 m,1.40 m,""
87,2023-06-09 12:40:47 UTC,1.68 &#13217;,5.06 m,1.20 m,1.48 m,0.24 m
92,2023-06-09 12:42:10 UTC,2.34 &#13217;,5.95 m,1.42 m,1.80 m,0.13 m
98,2023-06-09 12:42:49 UTC,1.63 &#13217;,5.05 m,1.08 m,1.70 m,0.17 m
108,2023-06-09 12:43:47 UTC,2.48 &#13217;,9.07 m,1.87 m,2.26 m,0.26 m
109,2023-06-09 12:44:51 UTC,2.16 &#13217;,5.84 m,1.20 m,2.08 m,0.24 m
112,2023-06-09 12:46:28 UTC,1.25 &#13217;,4.32 m,1.08 m,1.32 m,0.10 m
119,2023-06-09 12:47:29 UTC,1.66 &#13217;,4.94 m,1.18 m,1.65 m,0.19 m
