id,updated_at,area,perimeter,width,length,depth
6,2023-06-09 12:15:39 UTC,2.87 &#13217;,7.04 m,1.64 m,2.26 m,0.58 m
7,2023-06-09 12:19:23 UTC,2.71 &#13217;,6.24 m,1.81 m,1.90 m,0.79 m
17,2023-06-09 12:25:40 UTC,1.63 &#13217;,4.87 m,1.23 m,1.63 m,0.15 m
19,2023-06-09 12:27:39 UTC,0.01 &#13217;,0.28 m,0.07 m,0.09 m,0.03 m
25,2023-06-09 12:28:15 UTC,1.63 &#13217;,5.02 m,1.07 m,1.82 m,0.21 m
28,2023-06-09 12:30:11 UTC,1.96 &#13217;,5.44 m,1.21 m,1.90 m,0.36 m
46,2023-06-09 12:32:02 UTC,1.43 &#13217;,4.66 m,1.04 m,1.52 m,0.14 m
56,2023-06-09 12:33:53 UTC,2.35 &#13217;,5.82 m,1.46 m,1.94 m,0.32 m
58,2023-06-09 12:35:46 UTC,0.92 &#13217;,3.80 m,0.81 m,1.37 m,0.07 m
67,2023-06-09 12:37:40 UTC,1.20 &#13217;,9.84 m,1.11 m,1.49 m,0.38 m
81,2023-06-09 12:39:18 UTC,1.14 &#13217;,4.20 m,0.97 m,1.40 m,""
87,2023-06-09 12:39:49 UTC,1.68 &#13217;,5.07 m,1.20 m,1.48 m,0.24 m
92,2023-06-09 12:41:43 UTC,2.34 &#13217;,5.95 m,1.42 m,1.80 m,0.13 m
98,2023-06-09 12:42:58 UTC,1.63 &#13217;,5.05 m,1.08 m,1.70 m,0.17 m
108,2023-06-09 12:43:45 UTC,1.75 &#13217;,7.62 m,1.57 m,1.89 m,0.22 m
109,2023-06-09 12:45:09 UTC,0.72 &#13217;,3.37 m,0.69 m,1.20 m,0.14 m
112,2023-06-09 12:46:28 UTC,1.25 &#13217;,4.31 m,1.08 m,1.32 m,0.10 m
119,2023-06-09 12:47:22 UTC,1.66 &#13217;,4.94 m,1.18 m,1.65 m,0.22 m
