id,updated_at,area,perimeter,width,length,depth
6,2023-06-09 13:31:28 UTC,2.87 &#13217;,7.04 m,1.64 m,2.26 m,0.58 m
7,2023-06-09 13:34:25 UTC,2.71 &#13217;,6.24 m,1.81 m,1.90 m,0.79 m
17,2023-06-09 13:36:54 UTC,1.63 &#13217;,4.87 m,1.23 m,1.63 m,0.15 m
19,2023-06-09 13:39:12 UTC,0.38 &#13217;,2.36 m,0.59 m,0.73 m,""
25,2023-06-09 13:41:16 UTC,0.37 &#13217;,2.41 m,0.51 m,0.87 m,0.10 m
28,2023-06-09 13:43:11 UTC,1.96 &#13217;,5.44 m,1.21 m,1.90 m,0.36 m
46,2023-06-09 13:44:41 UTC,1.43 &#13217;,4.65 m,1.04 m,1.52 m,0.14 m
56,2023-06-09 13:46:31 UTC,0.70 &#13217;,3.19 m,0.80 m,1.06 m,0.18 m
58,2023-06-09 13:48:31 UTC,0.92 &#13217;,3.79 m,0.81 m,1.38 m,0.07 m
67,2023-06-09 13:50:38 UTC,1.20 &#13217;,9.84 m,1.11 m,1.49 m,0.38 m
81,2023-06-09 13:52:41 UTC,1.14 &#13217;,4.20 m,0.97 m,1.40 m,0.10 m
87,2023-06-09 13:54:32 UTC,0.95 &#13217;,3.80 m,0.90 m,1.11 m,0.18 m
92,2023-06-09 13:56:32 UTC,2.34 &#13217;,5.95 m,1.42 m,1.80 m,0.13 m
98,2023-06-09 13:58:07 UTC,1.63 &#13217;,5.05 m,1.08 m,1.70 m,0.17 m
108,2023-06-09 13:58:42 UTC,1.75 &#13217;,7.24 m,1.49 m,1.89 m,0.22 m
